Equipment Name,Type,Flowrate,Pressure,Temperature
Reactor-001,Reactor,150.5,25.3,180.2
Pump-001,Pump,200.0,50.0,75.5
Heat Exchanger-001,Heat Exchanger,175.8,30.2,150.0
Distillation Column-001,Distillation Column,120.0,20.5,200.5
Reactor-002,Reactor,160.3,26.0,185.0
Pump-002,Pump,210.5,52.3,78.0
Compressor-001,Compressor,180.0,100.0,90.0
Heat Exchanger-002,Heat Exchanger,165.2,28.5,145.5
Storage Tank-001,Storage Tank,0.0,5.0,25.0
Mixer-001,Mixer,140.5,15.0,50.0
Reactor-003,Reactor,155.0,24.8,175.5
Pump-003,Pump,195.0,48.5,72.0
Separator-001,Separator,130.0,22.0,120.0
Compressor-002,Compressor,190.0,105.0,95.0
Heat Exchanger-003,Heat Exchanger,170.0,29.0,148.0
Distillation Column-002,Distillation Column,125.5,21.0,205.0
Filter-001,Filter,110.0,18.0,60.0
Mixer-002,Mixer,145.0,16.0,55.0
Storage Tank-002,Storage Tank,0.0,5.5,26.0
Dryer-001,Dryer,100.0,12.0,150.0

